date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:13	352/352	---M-Z	200	added ('OK')	text/css	etag:%22160-67f93af2-add260e4c9236f8a;gz%22	https://mavenfinance.com.pl/assets/global/css/custom.css	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/css/custom.css	(from https://mavenfinance.com.pl/contact)
18:08:14	7426/7426	---M-Z	200	added ('OK')	text/css	etag:%221d02-67f93af2-29c3b7a7e730b13c;gz%22	https://mavenfinance.com.pl/assets/frontend/css/magnific-popup.css	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/css/magnific-popup.css	(from https://mavenfinance.com.pl/contact)
18:08:15	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-67f93af2-e2f0350458c60b3c;gz%22	https://mavenfinance.com.pl/assets/frontend/css/aos.css	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/css/aos.css	(from https://mavenfinance.com.pl/contact)
18:08:16	114596/114596	---M-Z	200	added ('OK')	text/css	etag:%221bfa4-67f93af2-79c313baf15d6b4;gz%22	https://mavenfinance.com.pl/assets/frontend/theme_base/money_invest/css/styles.css?var=1	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/theme_base/money_invest/css/styles67f8.css	(from https://mavenfinance.com.pl/contact)
18:08:17	5444/5444	---M--	200	added ('OK')	image/png	etag:%221544-67f945bb-7a152221caea230d;;;%22	https://mavenfinance.com.pl/assets/global/images/a58DOjrk0cmaf5Dlf2rI.png	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/images/a58DOjrk0cmaf5Dlf2rI.png	(from https://mavenfinance.com.pl/contact)
18:08:18	30162/30162	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:08:20%20GMT	https://mavenfinance.com.pl/schema	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/schema.html	(from https://mavenfinance.com.pl/contact)
18:08:19	20473/20473	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:08:21%20GMT	https://mavenfinance.com.pl/rankings	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/rankings.html	(from https://mavenfinance.com.pl/contact)
18:08:20	23417/23417	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:08:22%20GMT	https://mavenfinance.com.pl/how-it-works	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/how-it-works.html	(from https://mavenfinance.com.pl/contact)
18:08:21	26578/26578	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:08:23%20GMT	https://mavenfinance.com.pl/blog	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/blog.html	(from https://mavenfinance.com.pl/contact)
18:08:22	2331/2331	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2016:08:24%20GMT	https://mavenfinance.com.pl/contact.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/contact-2.html	(from https://mavenfinance.com.pl/contact)
18:08:23	382/382	---M-Z	302	error ('Found')	text/html	date:Wed,%2021%20May%202025%2016:08:25%20GMT	https://mavenfinance.com.pl/language-update?name=es	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/language-update5efc	(from https://mavenfinance.com.pl/contact)
18:08:24	382/382	---M-Z	302	error ('Found')	text/html	date:Wed,%2021%20May%202025%2016:08:26%20GMT	https://mavenfinance.com.pl/language-update?name=fr	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/language-updatee60a	(from https://mavenfinance.com.pl/contact)
18:08:25	2331/2331	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2016:08:27%20GMT	https://mavenfinance.com.pl/assets/global/images/3D2GoedLg8L3e7B5Q9Ev.png	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/images/3D2GoedLg8L3e7B5Q9Ev.png	(from https://mavenfinance.com.pl/contact)
18:08:26	35993/35993	---M--	200	added ('OK')	image/png	etag:%228c99-67f93af2-15a8c903afb6c67b;;;%22	https://mavenfinance.com.pl/assets/global/images/GAH1nccf5XhjretvfsYT.png	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/images/GAH1nccf5XhjretvfsYT.png	(from https://mavenfinance.com.pl/contact)
18:08:27	2331/2331	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2016:08:29%20GMT	https://mavenfinance.com.pl/privacy-policy.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/privacy-policy.html	(from https://mavenfinance.com.pl/contact)
18:08:28	22490/22490	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:08:30%20GMT	https://mavenfinance.com.pl/faq	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/faq.html	(from https://mavenfinance.com.pl/contact)
18:08:29	2331/2331	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2016:08:31%20GMT	https://mavenfinance.com.pl/terms-and-conditions.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/terms-and-conditions.html	(from https://mavenfinance.com.pl/contact)
18:08:30	25980/25980	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:08:32%20GMT	https://mavenfinance.com.pl/privacy-policy	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/privacy-policy-2.html	(from https://mavenfinance.com.pl/contact)
18:08:32	89664/89664	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215e40-67f93af2-b78f446f31b176a3;gz%22	https://mavenfinance.com.pl/assets/global/js/jquery.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/js/jquery.min.js	(from https://mavenfinance.com.pl/contact)
18:08:33	9033/9033	---M-Z	200	added ('OK')	application/x-javascript	etag:%222349-67f93af2-7910198ba1f61c11;gz%22	https://mavenfinance.com.pl/assets/global/js/jquery-migrate.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/js/jquery-migrate.js	(from https://mavenfinance.com.pl/contact)
18:08:33	78131/78131	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213133-67f93af2-f513c683daacc941;gz%22	https://mavenfinance.com.pl/assets/frontend/js/bootstrap.bundle.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/js/bootstrap.bundle.min.js	(from https://mavenfinance.com.pl/contact)
18:08:34	2035/2035	---M-Z	200	added ('OK')	application/x-javascript	etag:%227f3-67f93af2-7afc91886c71e54;gz%22	https://mavenfinance.com.pl/assets/frontend/js/scrollUp.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/js/scrollUp.min.js	(from https://mavenfinance.com.pl/contact)
18:08:35	44342/44342	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ad36-67f93af2-35cba4e4a0ca1e0f;gz%22	https://mavenfinance.com.pl/assets/frontend/js/owl.carousel.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/js/owl.carousel.min.js	(from https://mavenfinance.com.pl/contact)
18:08:36	8046/8046	---M-Z	200	added ('OK')	application/x-javascript	etag:%221f6e-67f93af2-aecac9deceb87ca;gz%22	https://mavenfinance.com.pl/assets/global/js/waypoints.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/js/waypoints.min.js	(from https://mavenfinance.com.pl/contact)
18:08:37	1067/1067	---M-Z	200	added ('OK')	application/x-javascript	etag:%2242b-67f93af2-5e705377c48855e1;gz%22	https://mavenfinance.com.pl/assets/frontend/js/jquery.counterup.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/js/jquery.counterup.min.js	(from https://mavenfinance.com.pl/contact)
18:08:38	2945/2945	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b81-67f93af2-157b2c6c88133398;gz%22	https://mavenfinance.com.pl/assets/global/js/jquery.nice-select.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/js/jquery.nice-select.min.js	(from https://mavenfinance.com.pl/contact)
18:08:40	260455/260455	---M-Z	200	added ('OK')	application/x-javascript	etag:%223f967-67f93af2-3b807997a30827fe;gz%22	https://mavenfinance.com.pl/assets/global/js/lucide.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/js/lucide.min.js	(from https://mavenfinance.com.pl/contact)
18:08:41	20221/20221	---M-Z	200	added ('OK')	application/x-javascript	etag:%224efd-67f93af2-2dde9de7081e34cb;gz%22	https://mavenfinance.com.pl/assets/frontend/js/magnific-popup.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/js/magnific-popup.min.js	(from https://mavenfinance.com.pl/contact)
18:08:41	14239/14239	---M-Z	200	added ('OK')	application/x-javascript	etag:%22379f-67f93af2-c82a9f07e5623;gz%22	https://mavenfinance.com.pl/assets/frontend/js/aos.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/js/aos.js	(from https://mavenfinance.com.pl/contact)
18:08:42	92858/92858	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216aba-67f93af2-659a0e57e441a330;gz%22	https://mavenfinance.com.pl/assets/global/js/datatables.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/js/datatables.min.js	(from https://mavenfinance.com.pl/contact)
18:08:43	7752/7752	---M-Z	200	added ('OK')	application/x-javascript	etag:%221e48-67f93af2-3c412e7ef390fd42;gz%22	https://mavenfinance.com.pl/assets/global/js/simple-notify.min.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/js/simple-notify.min.js	(from https://mavenfinance.com.pl/contact)
18:08:44	4704/4704	---M-Z	200	added ('OK')	application/x-javascript	etag:%221260-67f93af2-a7e9c001baf8105e;gz%22	https://mavenfinance.com.pl/assets/frontend/theme_base/money_invest/js/main.js?var=5	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/theme_base/money_invest/js/main830b.js	(from https://mavenfinance.com.pl/contact)
18:08:45	1705/1705	---M-Z	200	added ('OK')	application/x-javascript	etag:%226a9-67f93af2-eaa40049c84f5ceb;gz%22	https://mavenfinance.com.pl/assets/frontend/js/cookie.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/js/cookie.js	(from https://mavenfinance.com.pl/contact)
18:08:46	5350/5350	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214e6-67f93af2-1cc5681a14c627c9;gz%22	https://mavenfinance.com.pl/assets/global/js/custom.js?var=5	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/global/js/custom830b.js	(from https://mavenfinance.com.pl/contact)
18:08:47	27171/27171	---M-Z	200	added ('OK')	application/x-javascript	etag:%226a23-67f93af2-bc1ba4dd236a8671;gz%22	https://mavenfinance.com.pl/assets/vendor/mckenziearts/laravel-notify/js/notify.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/vendor/mckenziearts/laravel-notify/js/notify.js	(from https://mavenfinance.com.pl/contact)
18:08:50	23495/23495	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:08:52%20GMT	https://mavenfinance.com.pl/terms-and-conditions	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/terms-and-conditions-2.html	(from https://mavenfinance.com.pl/register)
18:08:50	360740/360740	---M--	200	added ('OK')	image/jpeg	etag:%2258124-67f93af2-87400458857e8ff;;;%22	https://mavenfinance.com.pl/assets/frontend/theme_base/money_invest/materials/banners/auth-banner.jpg	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/assets/frontend/theme_base/money_invest/materials/banners/auth-banner.jpg	(from https://mavenfinance.com.pl/register)
18:08:51	7008/7008	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:08:53%20GMT	https://mavenfinance.com.pl/forgot-password	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/forgot-password.html	(from https://mavenfinance.com.pl/login)
18:08:52	4942/4942	---M-Z	200	added ('OK')	text/css	etag:%22134e-63c84b7a-a9445cb55b210a87;gz%22	https://mavenfinance.com.pl/htdocs_error/style.css	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/htdocs_error/style.css	(from https://mavenfinance.com.pl/index-2.html)
18:08:55	108225/108225	---M--	200	added ('OK')	image/png	etag:%221a6c1-63c84b7a-664e9295048a5e14;;;%22	https://mavenfinance.com.pl/htdocs_error/something-lost.png	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/htdocs_error/something-lost.png	(from https://mavenfinance.com.pl/index-2.html)
18:08:55	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-67f9493f-86622b4ca029e2ba;gz%22	https://mavenfinance.com.pl/net/index.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/net/index.html	(from https://mavenfinance.com.pl/js/mixitup.js)
18:08:56	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-67f9493f-aebe1f237d52d4ae;gz%22	https://mavenfinance.com.pl/ry.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/ry.html	(from https://mavenfinance.com.pl/js/mixitup.js)
18:08:58	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-67f9493f-3b18a62db910f7a;gz%22	https://mavenfinance.com.pl/css/owl.video.play.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/css/owl.video.play.html	(from https://mavenfinance.com.pl/css/owl.css)
18:08:58	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-67f9493f-3462a529b3ef428c;gz%22	https://mavenfinance.com.pl/fonts/linearicons-free8429.html?4l2k0u	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/linearicons-free84298429.html	(from https://mavenfinance.com.pl/css/linear.css)
18:08:59	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-67f9493f-b5e05c6867f07ddf;gz%22	https://mavenfinance.com.pl/fonts/linearicons-free8429-2.html?4l2k0u	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/linearicons-free8429-28429.html	(from https://mavenfinance.com.pl/css/linear.css)
18:09:00	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-67f9493f-512e526f3b0ddd86;gz%22	https://mavenfinance.com.pl/fonts/linearicons-free8429-3.html?4l2k0u	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/linearicons-free8429-38429.html	(from https://mavenfinance.com.pl/css/linear.css)
18:09:01	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-67f9493f-2a7fb11c051f0d83;gz%22	https://mavenfinance.com.pl/fonts/linearicons-free8429-4.html?4l2k0u	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/linearicons-free8429-48429.html	(from https://mavenfinance.com.pl/css/linear.css)
18:09:03	104804/104804	---M--	200	added ('OK')	font/woff2	etag:%2219964-67f9493f-8b70bbcb2b40f0cb;;;%22	https://mavenfinance.com.pl/fonts/fa-brands-400.woff2	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/fa-brands-400.woff2	(from https://mavenfinance.com.pl/css/fontawesome.css)
18:09:05	104496/104496	---M--	200	added ('OK')	application/font-woff	etag:%2219830-67f9493f-41b91b7258b4f53a;;;%22	https://mavenfinance.com.pl/fonts/fa-brands-400.woff	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/fa-brands-400.woff	(from https://mavenfinance.com.pl/css/fontawesome.css)
18:09:05	173980/173980	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%222a79c-67f9493f-a26af08254717696;gz%22	https://mavenfinance.com.pl/fonts/fa-brands-400.ttf	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/fa-brands-400.ttf	(from https://mavenfinance.com.pl/css/fontawesome.css)
18:09:07	353788/353788	---M--	200	added ('OK')	font/woff2	etag:%22565fc-67f9493f-35dbf719b9998114;;;%22	https://mavenfinance.com.pl/fonts/fa-duotone-900.woff2	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/fa-duotone-900.woff2	(from https://mavenfinance.com.pl/css/fontawesome.css)
18:09:09	890636/890636	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22d970c-67f9493f-b0d9c9479d02e5df;gz%22	https://mavenfinance.com.pl/fonts/fa-duotone-900.ttf	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/fa-duotone-900.ttf	(from https://mavenfinance.com.pl/css/fontawesome.css)
18:09:11	375628/375628	---M--	200	added ('OK')	application/font-woff	etag:%225bb4c-67f9493f-10434a885f4fad6c;;;%22	https://mavenfinance.com.pl/fonts/fa-duotone-900.woff	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/fa-duotone-900.woff	(from https://mavenfinance.com.pl/css/fontawesome.css)
18:09:12	340136/340136	---M--	200	added ('OK')	font/woff2	etag:%22530a8-67f9493f-4e7e317b0a3958f0;;;%22	https://mavenfinance.com.pl/fonts/fa-light-300.woff2	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/fa-light-300.woff2	(from https://mavenfinance.com.pl/css/fontawesome.css)
18:09:13	834624/834624	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22cbc40-67f9493f-f9075077f8e4a990;gz%22	https://mavenfinance.com.pl/fonts/fa-light-300.ttf	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/fonts/fa-light-300.ttf	(from https://mavenfinance.com.pl/css/fontawesome.css)
